Nomi,Kategoriya,Narxi,Qoldiq,Tavsif,Rasm
iPhone 15 Pro Max 256GB,Smartfonlar,15200000,8,"Titan korpus, A17 Pro chip, 48MP kamera",https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=600&auto=format&fit=crop&q=80
iPhone 15 128GB,Smartfonlar,11500000,12,"A16 Bionic, Dynamic Island, USB-C",https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=600&auto=format&fit=crop&q=80
iPhone 14 128GB,Smartfonlar,9200000,6,"Rasmiy kafolat, ideal holat",https://images.unsplash.com/photo-1592286927505-1def25115558?w=600&auto=format&fit=crop&q=80
Samsung Galaxy S24 Ultra 512GB,Smartfonlar,16800000,5,"S Pen, 200MP kamera, Snapdragon 8 Gen 3",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=600&auto=format&fit=crop&q=80
Samsung Galaxy S24 256GB,Smartfonlar,12400000,9,"Kompakt flagman, AMOLED 120Hz",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=600&auto=format&fit=crop&q=80
Samsung Galaxy A55 128GB,Smartfonlar,4900000,20,"O'rta segment, 50MP kamera",https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=600&auto=format&fit=crop&q=80
Samsung Galaxy A35 128GB,Smartfonlar,3800000,25,Arzon va ishonchli,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=600&auto=format&fit=crop&q=80
Xiaomi Redmi Note 13 Pro,Smartfonlar,3200000,30,"200MP kamera, 67W tez quvvatlash",https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=600&auto=format&fit=crop&q=80
Xiaomi Redmi 13C 128GB,Smartfonlar,1750000,40,"Byudjet segment, katta batareya",https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=600&auto=format&fit=crop&q=80
Xiaomi 14 Ultra,Smartfonlar,14500000,4,"Leica optikasi, Snapdragon 8 Gen 3",https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=600&auto=format&fit=crop&q=80
Google Pixel 8 Pro,Smartfonlar,13200000,3,Eng yaxshi kamera AI si,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=600&auto=format&fit=crop&q=80
Honor X9b 256GB,Smartfonlar,3900000,15,"Chidamli ekran, 5800mAh",https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=600&auto=format&fit=crop&q=80
Infinix Note 40 Pro,Smartfonlar,2900000,18,"AMOLED, 45W quvvat",https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=600&auto=format&fit=crop&q=80
Tecno Camon 30,Smartfonlar,2600000,14,Selfi uchun ideal,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=600&auto=format&fit=crop&q=80
MacBook Air M3 15-inch 16/512GB,Noutbuklar,18900000,5,"M3 chip, 18 soat batareya, Liquid Retina",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=80
MacBook Air M2 13-inch 8/256GB,Noutbuklar,13500000,7,"Yengil va kuchli, MagSafe",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=600&auto=format&fit=crop&q=80
MacBook Pro 14 M3 Pro,Noutbuklar,26000000,3,"Professional ish uchun, ProMotion",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=600&auto=format&fit=crop&q=80
Lenovo IdeaPad Slim 3,Noutbuklar,6900000,12,"Ryzen 5, 16GB RAM, o'quv uchun",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=600&auto=format&fit=crop&q=80
